project,bugs,version,MAP_../Bench4BL/analysis/blizzard2/,MRR_../Bench4BL/analysis/blizzard2/
Apache_CAMEL,1201.0,46,0.25329955166029233,0.250615708650679
Apache_HBASE,858.0,70,0.28212555612176854,0.2783876477058297
Apache_HIVE,1219.0,21,0.2196083801805703,0.21612420939738394
Commons_CODEC,41.0,9,0.4276761517615177,0.4258130081300814
Commons_COLLECTIONS,93.0,7,0.34613570420022016,0.3399560117302051
Commons_COMPRESS,111.0,15,0.36985416152082834,0.36924879424879437
Commons_CONFIGURATION,135.0,11,0.3306591710758379,0.33287771898883023
Commons_CRYPTO,8.0,1,0.15625,0.1388888888888889
Commons_CSV,14.0,3,0.4404761904761904,0.42857142857142855
Commons_IO,88.0,13,0.4051932825471786,0.4018668831168831
Commons_LANG,209.0,16,0.3947353231563758,0.38924774056353
Commons_MATH,224.0,15,0.34211790971649597,0.33547351705833856
Commons_WEAVER,2.0,1,0.3125,0.29166666666666663
JBoss_ENTESB,39.0,3,0.03346560846560847,0.035286935286935286
JBoss_JBMETA,26.0,5,0.12801573426573426,0.12176573426573427
Previous_AspectJ,1140.0,4,0.03693624844940637,0.038029511911090885
Previous_PDE,59.0,1,0.15298464874736062,0.15797747450289823
Previous_SWT,294.0,3,0.29009648061164506,0.27623391347881154
Previous_ZXing,20.0,1,0.22787878787878788,0.22833333333333336
Spring_AMQP,101.0,32,0.30259418799022747,0.29018616147329007
Spring_ANDROID,9.0,2,0.2627865961199294,0.24074074074074073
Spring_BATCH,412.0,33,0.27951693058315796,0.27611885148292903
Spring_BATCHADM,19.0,4,0.27953216374269,0.27953216374269
Spring_DATACMNS,155.0,33,0.24171135316296616,0.24246590327235493
Spring_DATAGRAPH,95.0,18,0.06858332700437964,0.06727272727272728
Spring_DATAJPA,148.0,38,0.290383077883078,0.2912301099801101
Spring_DATAMONGO,261.0,40,0.2451285017664331,0.2462437732552678
Spring_DATAREDIS,48.0,17,0.3372113997113997,0.33342502405002405
Spring_DATAREST,132.0,23,0.25048377898756685,0.24691585771131216
Spring_LDAP,53.0,5,0.28064914645103317,0.27569631626235397
Spring_MOBILE,11.0,3,0.32914862914862913,0.32914862914862913
Spring_ROO,707.0,15,0.21110005534081103,0.20839114523697272
Spring_SEC,541.0,42,0.30032841952666367,0.30056173032143463
Spring_SECOAUTH,96.0,7,0.17232800474987972,0.1718088624338624
Spring_SGF,105.0,19,0.3023286951144094,0.30075620147048715
Spring_SHDP,41.0,8,0.37767131242741,0.3776422764227642
Spring_SHL,9.0,2,0.20939153439153438,0.20105820105820105
Spring_SOCIAL,15.0,4,0.3022222222222222,0.29666666666666663
Spring_SOCIALFB,15.0,5,0.2929629629629629,0.2929629629629629
Spring_SOCIALLI,3.0,1,0.3148148148148148,0.3148148148148148
Spring_SOCIALTW,8.0,5,0.3625,0.3625
Spring_SPR,126.0,10,0.24442826794017264,0.2402846492132206
Spring_SWF,134.0,20,0.27749493872628206,0.2755330490405118
Spring_SWS,172.0,25,0.21585862780630227,0.20918025772676935
Wildfly_ELY,23.0,3,0.11207729468599034,0.11062801932367151
Wildfly_SWARM,56.0,6,0.12808312719027007,0.1283807462378891
Wildfly_WFARQ,1.0,1,0.0,0.0
Wildfly_WFCORE,339.0,16,0.18213345705971096,0.1835957552771714
Wildfly_WFLY,910.0,11,0.15299490919133774,0.15311006453863593
Wildfly_WFMP,3.0,1,0.4166666666666667,0.38888888888888884
